WC	World Cup
SCQ	Asian Cup and Asian Challenge Cup qualifier	Asian Cup & Asian Challenge Cup qualifier	Asian Cup & Asian Challenge Cup qual	Asian Cup & Asian Challenge Cup q	Asian Cup & Asian Chlg Cup q	As Cup & As Chlg Cup q	As C & As Chlg C q	As C & As Ch C q	Asian Challenge Cup qualifier	Asian Challenge Cup qual	Asian Challenge Cup q	Asian Chlg Cup q	As Chlg Cup q	As Ch Cup q
FQ	African Nations Cup qualifier	African Nations Cup qual	African Cup qualifier	African Cup qual	African Cup q
FQT	African Nations Cup qualifying	African Nations Cup qual	African Cup qualifying	African Cup qual	African Cup q
PAQ	Panamerican Games qualifier	Panamerican Games qual	Panam Games qual	Panam Games q
CCQ	CONCACAF Championship qualifier	CONCACAF Championship qual	CONCACAF Champ qual	CONCACAF Ch q	N Am Ch q
NQT	CONCACAF Championship qualifying	CONCACAF Championship qual	CONCACAF Champ qual	CONCACAF Ch q	N Am Ch q
GCQ	CONCACAF Gold Cup qualifier	CONCACAF Gold Cup qual	CONCACAF Gold Cup q	Gold Cup q
OCQ	Oceania Nations Cup qualifier	Oceania Cup qualifier	Oceania Cup qual	Oceania Cup q	Oce Cup qual
OQT	Oceania Nations Cup qualifying	Oceania Cup qualifying	Oceania Cup qual	Oceania Cup q	Oce Cup qual
ASG	Asian Games
MR	May Revolution Centennial Cup	May Revolution Cent Cup	May Rev Cent Cup	May Rev Cent C	May Rev C C
CCC	Central American Cup	Central Am Cup	C Am Cup
UNC	UNCAF Nations Cup	UNCAF Nat Cup	UNCAF Cup
UNQ	UNCAF Nations Cup qualifier	UNCAF Nations Cup qual	UNCAF Nat Cup qual	UNCAF Nat Cup q	UNCAF Cup q
UNT	UNCAF Nations Cup qualifying	UNCAF Nations Cup qual	UNCAF Nat Cup qual	UNCAF Nat Cup q	UNCAF Cup q
NQC	CONCACAF Championship qualifier and Central American Cup	CONCACAF Championship qualifier & Central American Cup	CONCACAF Championship qual & Central American Cup	CONCACAF Champ qual & Central American Cup	CONCACAF Champ qual & Central Am Cup	CONCACAF Champ q & Central Am Cup	CONCACAF Champ q & C Am Cup	CONCACAF Ch q & C Am Cup	N Am Ch q & C Am Cup	Central American Cup	Central Am Cup	C Am Cup
NQU	CONCACAF Championship qualifier and UNCAF Nations Cup	CONCACAF Championship qualifier & UNCAF Nations Cup	CONCACAF Championship qual & UNCAF Nations Cup	CONCACAF Champ qual & UNCAF Nations Cup	CONCACAF Champ qual & UNCAF Nat Cup	CONCACAF Champ q & UNCAF Nat Cup	CONCACAF Champ q & UNCAF Cup	CONCACAF Ch q & UNCAF Cup	N Am Ch q & UNCAF Cup	UNCAF Nations Cup	UNCAF Nat Cup	UNCAF Cup
NUQ	CONCACAF Championship and UNCAF Nations Cup qualifier	CONCACAF Championship & UNCAF Nations Cup qualifier	CONCACAF Championship & UNCAF Nations Cup qual	CONCACAF Champ & UNCAF Nations Cup qual	CONCACAF Champ & UNCAF Nat Cup qual	CONCACAF Champ & UNCAF Nat Cup q	CONCACAF Champ & UNCAF Cup q	CONCACAF Ch & UNCAF Cup q	N Am Ch & UNCAF Cup q	UNCAF Nations Cup qualifier	UNCAF Nations Cup qual	UNCAF Nat Cup qual	UNCAF Nat Cup q	UNCAF Cup q
CRC	Caribbean Championship	Caribbean Champ	Caribbean Ch	Carib Ch
CRP	Caribbean Championship playoffs	Caribbean Champ playoffs	Caribbean Champ play	Caribbean Champ PO	Caribbean Ch play	Caribbean Ch PO	Carib Ch play	Carib Ch PO
CRQ	Caribbean Championship qualifier	Caribbean Championship qual	Caribbean Champ qual	Caribbean Champ q	Caribbean Ch q	Carib Ch q
CRT	Caribbean Championship qualifying	Caribbean Championship qual	Caribbean Champ qual	Caribbean Champ q	Caribbean Ch q	Carib Ch q
CBC	Caribbean Cup
CBQ	Caribbean Cup qualifier	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
CBT	Caribbean Cup qualifying	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
CIB	Caribbean Cup
CIQ	Caribbean Cup qualifier	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
CIT	Caribbean Cup qualifying	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
FQC	CONCACAF Championship qualifier and Caribbean Cup	CONCACAF Championship qualifier & Caribbean Cup	CONCACAF Championship qual & Caribbean Cup	CONCACAF Champ qual & Caribbean Cup	CONCACAF Champ qual & Carib Cup	CONCACAF Champ q & Carib Cup	CONCACAF Champ q & Car Cup	CONCACAF Ch q & Car Cup	N Am Ch q & Car Cup	Caribbean Cup	Carib Cup
FCQ	CONCACAF Championship and Caribbean Cup qualifier	CONCACAF Championship & Caribbean Cup qualifier	CONCACAF Championship & Caribbean Cup qual	CONCACAF Champ & Caribbean Cup qual	CONCACAF Champ & Carib Cup qual	CONCACAF Champ & Carib Cup q	CONCACAF Champ & Car Cup q	CONCACAF Ch & Car Cup q	N Am Ch & Car Cup q	Caribbean Cup qualifier	Caribbean Cup qual	Caribbean Cup q	Carib Cup q
FQB	CONCACAF Championship qualifier and Caribbean Championship	CONCACAF Championship qualifier & Caribbean Championship	CONCACAF Championship qual & Caribbean Championship	CONCACAF Champ qual & Caribbean Champ	CONCACAF Champ qual & Carib Champ	CONCACAF Champ q & Carib Champ	CONCACAF Champ q & Car Champ	CONCACAF Ch q & Car Ch	N Am Ch q & Car Ch	Caribbean Championship	Caribbean Champ	Caribbean Ch	Carib Ch
FQP	CONCACAF Championship qualifier and Caribbean Championship playoff	CONCACAF Championship qualifier & Caribbean Championship playoff	CONCACAF Championship qual & Caribbean Championship play	CONCACAF Champ qual & Caribbean Champ play	CONCACAF Champ qual & Carib Champ play	CONCACAF Champ q & Carib Champ PO	CONCACAF Champ q & Car Champ PO	CONCACAF Ch q & Car Ch play	CONCACAF Ch q & Car Ch PO	N Am Ch q & Car Ch PO	Caribbean Championship playoff	Caribbean Championship play	Caribbean Champ play	Caribbean Champ PO	Caribbean Ch PO	Carib Ch PO	CONCACAF_Car_Champ_Q	CONCACAF Championship and Caribbean Championship qualifier	CONCACAF Championship & Caribbean Championship qualifier	CONCACAF Championship & Caribbean Championship qual	CONCACAF Champ & Caribbean Champ qual	CONCACAF Champ & Carib Champ qual	CONCACAF Champ & Carib Champ q	CONCACAF Champ & Car Champ q	CONCACAF Ch & Car Ch q	N Am Ch & Car Ch q	Caribbean Championship qualifier	Caribbean Championship qual	Caribbean Champ qual	Caribbean Champ q	Caribbean Ch q	Carib Ch q
FBQ	CONCACAF Championship and Caribbean Championship qualifier	CONCACAF Championship & Caribbean Championship qualifier	CONCACAF Championship & Caribbean Championship qual	CONCACAF Champ & Caribbean Champ qual	CONCACAF Champ & Carib Champ qual	CONCACAF Champ & Carib Champ q	CONCACAF Champ & Car Champ q	CONCACAF Ch & Car Ch q	N Am Ch & Car Ch q	Caribbean Championship qualifier	Caribbean Championship qual	Caribbean Champ qual	Caribbean Champ q	Caribbean Ch q	Carib Ch q
CUC	Caribbean Championship	Caribbean Champ	Carib Champ
CUQ	Caribbean Championship qualifier	Caribbean Championship qual	Caribbean Champ qual	Carib Champ qual	Carib Ch qual	Carib Ch q
CUT	Caribbean Championship qualifying	Caribbean Championship qual	Caribbean Champ qual	Carib Champ qual	Carib Ch qual	Carib Ch q
ARC	Arab Cup
ARQ	Arab Cup qualifier	Arab Cup qual	Arab Cup q
AQT	Arab Cup qualifying	Arab Cup qual	Arab Cup q
PAR	Pan-Arab Games
PGC	Pan-Arab Games and Arab Cup	Pan-Arab Games & Arab Cup	Pan-Arab G & Arab C	Arab G & Arab C
GLF	Gulf Cup
TGR	Tiger Cup
TGQ	Tiger Cup qualifier	Tiger Cup qual
ASE	ASEAN Championship	ASEAN Champ
AEQ	ASEAN Championship qualifier	ASEAN Championship qual	ASEAN Champ qual	ASEAN Ch q
SEA	Southeast Asian Championship	Southeast Asian Champ	SE Asian Champ
SEQ	Southeast Asian Championship qualifier	Southeast Asian Championship qual	Southeast Asian Champ qual	SE Asian Champ qual	SE Asian Ch q
SET	Southeast Asian Championship qualifying	Southeast Asian Championship qual	Southeast Asian Champ qual	SE Asian Champ qual	SE Asian Ch q
CEC	CECAFA Cup
ECA	East and Central African Senior Challenge Cup	East and Central African Challenge Cup	East and Central African Cup	East & Central African Cup	E & C African Cup	E & C Afr Cup
WFQ	West African Nations Cup qualifier	West African Cup qualifier	West African Cup qual	W Afr Cup q
WFU	West African Nations Cup	West African Cup	W African Cup
UEM	UEMOA Tournament	UEMOA Tourn
CMC	CEMAC Cup
ZVT	Zone V Tournament	Zone V Tourn
SAG	South Asian Games	S Asian Games
CNU	Central Asian Nations Cup	Central Asian Cup	C Asian Cup
CAU	Central Asian Cup	C Asian Cup
SFF	South Asian Championship	South Asian Champ	S Asian Champ
SEG	Southeast Asian Games	SE Asian Games
SEP	Southeast Asian Peninsula Games	SE Asian Peninsula Games	SE Asian Pen Games	SEAP Games
CSF	COSAFA Cup
NGC	Nehru Gold Cup	Nehru G Cup	Nehru Cup
BGC	Bangabandhu Gold Cup	Bangabandhu G Cup	Bangabandhu Cup
ACC	Amilcar Cabral Cup	A Cabral Cup
AWA	West African Cup and Amilcar Cabral Cup	W African Cup and Amilcar Cabral Cup	W African Cup and A Cabral Cup	W Afr Cup and A Cabral Cup	W Afr C & A Cabral C	W Afr C & Cabral C	W Afr & Cabral C	W Afr & Cabr C
WAH	West Asian Championship	West Asian Champ	W Asian Champ
WAG	West Asian Games	W Asian Games
EAH	East Asian Championship	East Asian Champ	E Asian Champ
EAQ	East Asian Championship qualifier	East Asian Championship qual	East Asian Champ qual	E Asian Champ qual	E Asian Champ q	E Asian Ch q
EAT	East Asian Championship qualifying	East Asian Championship qual	East Asian Champ qual	E Asian Champ qual	E Asian Champ q	E Asian Ch q
EQM	East Asian Championship qualifier and Marianas Cup	East Asian Champ qual & Marianas Cup	E Asian Champ q & Marianas Cup	E Asian Ch q & Marianas C	E Asian q & Marianas C	E Asian q & Mar C	E As q & Mar C
ACH	Asian Challenge Cup	Asian Chlg Cup
CHQ	Asian Challenge Cup qualifier	Asian Challenge Cup qual	Asian Chlg Cup qual	Asian Ch Cup q
CHT	Asian Challenge Cup qualifying	Asian Challenge Cup qual	Asian Chlg Cup qual	Asian Ch Cup q
ASC	Asian Solidarity Cup	Asian Sldt Cup
PG	Pacific Games
PMG	Pacific Mini-Games	Pac Mini-Games	Pac Mini-G
SPG	South Pacific Games	S Pacific Games	S Pac Games
SPM	South Pacific Mini-Games	S Pacific Mini-Games	S Pac Mini-Games	S Pac Mini-G
IG	Island Games
MNG	Micronesian Games	Micron Games
MNC	Micronesian Cup	Micron Cup
MLN	Melanesian Cup	Melanes Cup	Melan Cup
PLN	Polynesian Cup	Polynes Cup	Polyn Cup
OCM	Oceania Nations Cup qualifier and Melanesian Cup	Oceania Nations Cup qualifier & Melanesian Cup	Oceania Nations Cup qual & Melanesian Cup	Oceania Cup qualifier and Melanesian Cup	Oceania Cup qualifier & Melanesian Cup	Oceania Cup qual & Melanesian Cup	Oceania Cup q & Melanesian Cup	Oce Cup q & Melanesian Cup	Oce Cup q & Melan Cup	Melanesian Cup	Melanes Cup	Melan Cup
OCP	Oceania Nations Cup qualifier and Polynesian Cup	Oceania Nations Cup qualifier & Polynesian Cup	Oceania Nations Cup qual & Polynesian Cup	Oceania Cup qualifier and Polynesian Cup	Oceania Cup qualifier & Polynesian Cup	Oceania Cup qual & Polynesian Cup	Oceania Cup q & Polynesian Cup	Oce Cup q & Polynesian Cup	Oce Cup q & Polyn Cup	Polynesian Cup	Polynes Cup	Polyn Cup
BC	British Championship	British Champ	British Ch
FEG	Far Eastern Games	Far East Games	Far E Games
EAG	East Asian Games	E Asian Games
EAM	East Asia Games	E Asia Games
DGC	European International Cup	International Cup	Internat Cup	Intl Cup
BLK	Balkan Cup
BCE	Balkan and Central European Championship	Balkan and Central European Champ	Balkan & Central European Champ	Balkan & C European Champ	Balkan & CE Champ	Balkan & CE Ch
BKG	Balkan and Central European Championship and European International Cup	Balkan and Central European Champ & European International Cup	Balkan & Central Euro Champ & Euro International Cup	Balkan & Central Euro Champ & Intl Cup	Balkan & C Euro Champ & Intl Cup	Balkan & CE Champ & Intl Cup	Balkan & CE Ch & Intl Cup	Balkan & CE & Intl Cup	Bkn & CE & Intl Cup	Bkn & CE & Intl C	Bkn & Intl Cup	Bkn & Intl C
AFG	African Games
AGQ	African Games qualifier	African Games qual	African Games q	Afr Games q
AGT	African Games qualifying	African Games qual	African Games q	Afr Games q
AQC	African Games qualifier and Central African Cup	African Games qual & Central African Cup	African Games qual & C African Cup	Afr Games q & C Afr Cup	AG q & CA Cup
ACG	African Games qualifier and Central African Games	African Games qual & Central African Games	African Games qual & C African Games	Afr Games q & C Afr Games	Afr G q & C Afr G	AG q & CA G
AQW	African Games qualifier and West African Cup	African Games qual & West African Cup	African Games qual & W African Cup	Afr Games q & W Afr Cup	AG q & WA Cup
CAG	Central American Games	C American Games	C Am Games
CAC	Central American and Caribbean Games	C American & Caribbean Games	C Am & Caribbean Games	C Am & Carib Games	C Am & Crb Games	CA & Crb Games
CCG	C Am and Caribbean Games
BG	Bolivarian Games	Bolivar Games
ILG	Islamic Games
MFT	Mediterranean Friendship Cup	Medit Friendship Cup	Medit Friendship C	Friendship Cup	Friendship C
MDG	Mediterranean Games	Medit Games
MDC	Mediterranean Cup	Medit Cup
EMC	East Mediterranean Cup	E Mediterranean Cup	E Medit Cup
ECW	ECOWAS Tournament	ECOWAS Tourn
COC	CEDEAO Cup
COQ	CEDEAO Cup qualifier	CEDEAO Cup qual	CEDEAO Cup q
COT	CEDEAO Cup qualifying	CEDEAO Cup qual	CEDEAO Cup q
CAR	Central African Cup	C African Cup
CFG	Central African Games	C African Games
MND	World Champions Gold Cup	World Champ Gold Cup	World Ch Gold Cup	W Ch Gold Cup	Gold Cup
PAL	Palestine Cup
UDE	UDEAC Cup
UDC	UDEAC / CEMAC Cup
UFC	UNIFAC Cup
WAN	West African Nations Cup	West African Cup	W African Cup
WAC	West African Cup	W African Cup
PRG	President's Gold Cup	President's Gold C	President's Cup	President's C
PRS	President's Cup	President's C
CLM	Colombo Cup
PCF	Pacific Cup
SPC	South Pacific Cup	S Pacific Cup	S Pacific C
ATL	Atlantic Cup
ATA	Atlantic Cup and Artigas Cup	Atlantic Cup & Artigas Cup	Atl Cup & Artigas Cup	Atl & Artigas Cup	Atl & Art Cup
ATB	Atlantic Cup and Felix Bogado Cup	Atlantic Cup & F Bogado Cup	Atl Cup & Bogado Cup	Atl & Bogado Cup	Atl & Bog Cup
ATR	Atlantic Cup and Julio Roca Cup	Atlantic Cup and Roca Cup	Atlantic Cup & Roca Cup	Atl Cup & Roca Cup	Atl & Roca Cup
ALP	Atlantic Cup and Lipton Cup	Atlantic Cup & Lipton Cup	Atl Cup & Lipton Cup	Atl & Lipton Cup	Atl & Lpt Cup
ATN	Atlantic Cup and Newton Cup	Atlantic Cup & Newton Cup	Atl Cup & Newton Cup	Atl & Newton Cup	Atl & Nwt Cup
ATC	Atlantic Cup and Oswaldo Cruz Cup	Atlantic Cup & Oswaldo Cruz Cup	Atl Cup & O Cruz Cup	Atl & Cruz Cup
ARB	Atlantic Cup and Rio Branco Cup	Atlantic Cup & Rio Branco Cup	Atl Cup & Rio Branco Cup	Atl Cup & R Branco Cup	Atl & R Branco Cup	Atl & R Br Cup
BGD	Felix Bogado Cup	F Bogado Cup	Bogado Cup
LPT	Lipton Cup
NWT	Newton Cup
POA	Argentinian Honor Award Cup	Argentine Honor Award Cup	Arg Honor Award Cup	Arg Honor Award C	A Honor Award C	Honor Award C
POU	Uruguayan Honor Award Cup	Uru Honor Award Cup	Uru Honor Award C	U Honor Award C	Honor Award C
MTV	Montevideo Cup
SZP	Saenz Pena Cup
CCP	Press Circle Cup	Press Circle C
ROC	Julio Argentino Roca Cup	Julio Roca Cup	Roca Cup
RCB	Rosa Chevallier Boutell Cup	Rosa Chevallier Cup	Chevallier Cup
RBC	Rio Branco Cup
HGC	Hector Gomez Cup	H Gomez Cup
JMC	Juan Mignaburu Cup	J Mignaburu Cup	Mignaburu Cup
RGP	Roque Gomez Pena Cup	R Gomez Pena Cup	Gomez Pena Cup
OCC	Oswaldo Cruz Cup	O Cruz Cup
OHC	Bernardo O'Higgins Cup	B O'Higgins Cup	O'Higgins Cup
CDC	Carlos Dittborn Cup	C Dittborn Cup	Dittborn Cup
CPD	Juan Pinto Duran Cup	Pinto Duran Cup	Pinto Duran C
RCO	Raul Colombo Cup	R Colombo Cup	R Colombo C
ART	Artigas Cup
CDM	Mexico City Cup	Mexico City C
AZT	Azteca 2000 Tournament	Azteca 2000 Tourn	Azteca 2000 T
MAZ	Mexico City Cup and Azteca 2000 Tournament	Mexico City Cup & Azteca 2000 Tourn	Mexico City C & Azteca 2000 T	Mexico C & Azteca T	Mexico & Azteca T	Mexico & Azteca
RCC	Ramon Castilla Cup	R Castilla Cup	Castilla Cup
TRE	Triangulaire
AAT	Addis Ababa 25th Anniversary Tournament	Addis Ababa 25th Anniversary Tourn	Addis Ababa 25th Anniv Tourn	Addis Ababa Anniv Tourn	Addis Ababa Tourn	Addis Ababa T
BJG	Beijing Invitational Cup	Beijing Inv Cup
EAC	East African Friendship Cup	East African Fr Cup	E African Fr Cup	East African Cup	E African Cup
IOC	Indian Ocean Cup	Indian Ocn Cup	Indian Ocn C
IOG	Indian Ocean Games	Indian Ocn Games	Indian Ocn G
SDC	SADCC Tournament	SADCC Tourn
AMT	Amitie Tournament	Amitie Tourn
BRI	Independence Cup	Indep Cup
IPC	Independence Cup	Indep Cup
IND	Independence Tournament	Independence Tourn	Indep Tourn
ING	Independence Games	Indep Games
RPB	Republic Bank Cup	Rep Bank Cup	Rep Bank C
RDC	Republic Day Cup	Rep Day Cup
FRC	Friendship Cup	Friend Cup
FRT	Friendship Tournament	Friendship Tourn	Friend Tourn
FRY	Friendship Trophy	Friendship Tr	Friend Tr
FRH	Friendship Challenge	Friendship Chal	Friend Chal
FRG	Friendship Games	Friend Games
BLC	Baltic Cup
BLT	Baltic Tournament	Baltic Tourn
CNY	Centenary Cup	Centenary C
ACT	AFA Centenary Cup	AFA Centenary C	AFA Centenary
CNT	Centenary Tournament	Centenary Tourn	Centenary T
CGU	Copa Guatemala
AGC	Bicentenary Gold Cup	Bicent Gold Cup	Bicent Gold C
USC	US Cup
CAN	Canada Cup
UMB	Umbro Cup
KOR	Korea Cup
KNG	King's Cup
CBG	Carlsberg Cup
DNH	Dunhill Cup
DNS	Dynasty Cup
KRN	Kirin Cup
KRC	Kirin Challenge	Kirin Chlg
SMB	Simba Cup
LGR	Castle Lager Cup
CMS	COMESA Cup
DNC	Danube Cup
DKM	Danube Cup and King Mihai Cup	Danube C & King Mihai C	Danube C & K Mihai C	Danube & K Mihai C
EBN	Eduard Benes Cup	Eduard Benes C	E Benes C
KAC	King Alexander Cup	King Alexander C	King Alex C
KCC	King Carol Cup	King Carol C
KHC	King Hassan Tournament	King Hassan Tourn	King Hassan T
KPC	King Piotr II Cup	King Piotr II C	King Piotr C
BAT	Belier d'Afrique Tournament	Belier d'Afrique Tourn	Belier d'Afr Tourn	B d'Afr Tourn
ARR	Great Artificial River Tournament	Artificial River Tournament	Artificial River Tourn	Art River Tourn	Art River T
NRD	Nordic Championship	Nordic Champ
