fit,ratio,log_loss,brier,rps,accuracy,friendly_temperature,competitive_temperature
fixed_temperatures,0.75396,0.881770229283,0.51904608865,0.172691470553,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75397,0.881770229265,0.519046084172,0.17269146872,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75398,0.881770229252,0.519046079701,0.17269146689,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75399,0.88177022924,0.51904607523,0.17269146506,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.754,0.88177022923,0.519046070761,0.172691463231,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75401,0.88177022922,0.519046066291,0.172691461402,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75402,0.881770229211,0.519046061823,0.172691459573,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75403,0.881770229204,0.519046057355,0.172691457745,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75404,0.881770229198,0.519046052888,0.172691455917,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75405,0.881770229193,0.519046048421,0.172691454089,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75406,0.881770229189,0.519046043955,0.172691452261,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75407,0.881770229186,0.51904603949,0.172691450434,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75408,0.881770229184,0.519046035026,0.172691448607,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75409,0.881770229184,0.519046030562,0.172691446781,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.7541,0.881770229184,0.519046026099,0.172691444955,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75411,0.881770229186,0.519046021637,0.172691443129,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75412,0.881770229189,0.519046017175,0.172691441303,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75413,0.881770229193,0.519046012714,0.172691439478,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75414,0.881770229198,0.519046008254,0.172691437653,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75415,0.881770229204,0.519046003794,0.172691435828,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75416,0.881770229212,0.519045999335,0.172691434004,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75417,0.88177022922,0.519045994877,0.17269143218,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75418,0.88177022923,0.519045990419,0.172691430356,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75419,0.881770229241,0.519045985962,0.172691428533,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.7542,0.881770229253,0.519045981506,0.17269142671,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75421,0.881770229266,0.519045977051,0.172691424887,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75422,0.88177022928,0.519045972596,0.172691423065,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75423,0.881770229296,0.519045968142,0.172691421243,0.591183949061,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75424,0.881770229312,0.519045963689,0.172691419421,0.591162581996,0.9697407083655329,1.0635626456560392
fixed_temperatures,0.75425,0.88177022933,0.519045959236,0.172691417599,0.591162581996,0.9697407083655329,1.0635626456560392
