1989	01	03	GA	TN	2	3	F		-12	1445	1489	−2	+3	82	70
1989	01	07	NG	GA	1	0	WQ		9	1578	1436	+7	−1	49	83
1989	01	22	GA	CM	1	3	WQ		-20	1416	1675	−5	+4	88	36
1989	04	09	GA	GH	1	0	FQ		18	1434	1457	+4	−3	84	79
1989	04	23	GH	GA	1	0	FQ		13	1470	1421	+1	−2	78	86
1989	06	04	GA	ZR	0	0	F		1	1422	1567	−1	−2	86	55
1989	06	11	AO	GA	2	0	WQ		18	1494	1404	+6	−6	69	92
1989	06	25	GA	NG	2	1	WQ		26	1430	1595	+7	−4	84	49
1989	07	06	MW	GA	2	0	IND		10	1548	1420	+2	−2	60	86
1989	07	07	GA	MZ	1	0	IND	MW	10	1430	1287	+2	−1	84	111
1989	07	16	ZM	GA	3	0	FQ		9	1662	1421	+4	−3	36	87
1989	07	30	GA	ZM	2	1	FQ		28	1449	1634	+8	−6	78	42
1989	08	13	CM	GA	2	1	WQ		6	1670	1443	0	−2	36	79
1989	08	27	GA	AO	1	0	WQ		16	1459	1453	+4	−3	75	77
1989	12	03	CG	GA	1	0	UDE	CF	22	1452	1437	+6	−8	77	82
1989	12	05	GA	CG	2	0	UDE	CF	31	1468	1421	+8	−8	74	85
1989	12	10	CF	GA	2	0	UDE		43	1253	1425	+13	−10	121	83
1989	12	12	GA	TD	2	0	UDE	CF	19	1444	1273	+3	−2	80	115
1990	04	29	MQ	GA	2	0	BST	FR	24	1450	1420	+6	−7	76	84
1990	08	12	GA	ML	0	0	F		-2	1418	1435	0	0	82	78
1990	08	19	GA	UG	1	0	FQ		21	1439	1509	+4	−1	77	66
1990	09	02	TZ	GA	0	0	FQ		6	1233	1433	+2	−3	130	80
1990	12	09	CM	GA	2	1	UDE	CG	9	1666	1424	+1	−4	37	82
1990	12	11	GA	CF	1	0	UDE	CG	11	1435	1237	+5	−1	77	129
1990	12	15	CG	GA	1	0	UDE		14	1466	1421	+1	−3	74	81
1990	12	17	TD	GA	2	1	UDE	CG	28	1302	1393	+9	−9	112	90
1991	04	14	ZR	GA	2	1	FQ		7	1559	1386	0	−3	58	93
1991	04	28	UG	GA	0	0	FQ		-12	1506	1398	−2	+3	67	89
1991	07	07	GA	GH	0	1	F		-8	1390	1573	−1	0	92	56
1991	07	14	GA	TZ	1	0	FQ		11	1401	1318	+4	−2	88	113
1991	07	28	GA	ZR	0	0	FQ		3	1404	1542	+2	0	85	61
1992	06	14	GA	TG	1	0	F		7	1411	1376	+1	−4	94	106
1992	06	21	GA	BI	0	1	F		-16	1395	1301	−6	+5	102	127
1992	08	16	GA	CM	0	0	FQ		9	1404	1655	0	−1	104	41
1992	08	30	NE	GA	1	3	FQ		-37	1353	1441	−7	+11	115	93
1992	10	04	GA	TD	1	0	F		3	1444	1228	+1	−3	91	147
1992	10	11	GA	MZ	3	1	WQ		15	1459	1333	+4	0	87	118
1992	12	19	GA	SN	3	2	WQ		18	1477	1506	+8	−1	83	75
1993	01	02	GA	BF	1	1	BST		-8	1469	1381	−2	+3	86	109
1993	01	03	GA	GH	2	3	BST		-13	1456	1636	−4	0	90	47
1993	01	17	MZ	GA	1	1	WQ		2	1321	1454	0	0	122	90
1993	02	27	SN	GA	1	0	WQ		12	1509	1442	+3	−1	76	91
1993	04	11	GA	BJ	2	0	FQ		7	1449	1169	0	−2	92	162
1993	04	25	CM	GA	0	0	FQ		-14	1620	1463	−4	+3	50	89
1993	07	04	GA	ML	0	2	F		-21	1442	1429	−3	+3	94	98
1993	07	11	GA	NE	3	0	FQ		18	1460	1336	+2	−4	91	120
1993	07	25	BJ	GA	1	2	FQ		-9	1139	1469	−1	+1	166	91
1993	10	01	MA	GA	1	0	F	FR	5	1649	1464	+2	−3	40	92
1993	10	06	BE	GA	2	1	F		1	1850	1463	0	0	18	92
1993	11	05	TN	GA	4	0	N7C		11	1613	1452	+2	−2	57	94
1993	11	07	MT	GA	2	1	N7C	TN	19	1387	1433	+4	−3	107	97
1994	02	27	GA	SN	0	0	F		-3	1430	1434	−2	+1	95	93
1994	03	15	GA	ZR	2	1	F		9	1439	1489	+2	−3	93	82
1994	03	19	AO	GA	2	1	F		8	1414	1431	+1	−1	98	94
1994	03	26	NG	GA	3	0	AR	TN	16	1706	1415	+4	−2	30	96
1994	03	28	EG	GA	4	0	AR	TN	18	1687	1397	+1	−7	35	103
1994	11	13	GA	MU	3	0	FQ		12	1409	1217	+1	−4	100	150
1994	11	20	GA	ZM	2	1	FQ		29	1438	1655	+5	−3	95	36
1995	04	02	GA	BJ	7	0	F		4	1442	1135	+1	−3	91	167
1995	04	08	ZM	GA	1	0	FQ		6	1662	1436	+1	−2	36	93
1995	06	04	MU	GA	0	3	FQ		-23	1185	1459	−5	+6	156	89
1995	10	22	GA	SL	1	0	F		9	1468	1503	+4	−2	85	79
1995	11	26	GA	CM	1	2	BLA		-15	1453	1581	−6	+6	92	59
1995	11	28	GA	CI	0	2	BLA		-18	1435	1643	−4	+4	96	42
1995	11	30	GA	DZ	2	1	BLA		17	1452	1572	+2	−7	94	63
1995	12	02	GA	CM	0	0	BLA		-1	1451	1541	0	0	94	70
1995	12	22	BF	GA	2	5	F		-20	1387	1471	−9	+9	111	85
1995	12	27	ML	GA	1	2	F		-9	1314	1480	−3	+1	123	84
1996	01	07	ZW	GA	1	2	F		-14	1495	1494	−1	+3	80	81
1996	01	11	MZ	GA	1	0	F		10	1419	1484	+1	−2	102	83
1996	01	16	LR	GA	2	1	AR	ZA	32	1419	1452	+7	−11	103	94
1996	01	19	GA	ZR	2	0	AR	ZA	47	1499	1491	+17	−11	77	81
1996	01	28	GA	TN	1	1	AR	ZA	5	1504	1570	0	0	77	62
1996	05	26	GA	CI	0	1	F		-11	1493	1592	−6	+1	81	58
1996	06	02	SZ	GA	0	1	WQ		-11	1207	1504	−2	+3	151	77
1996	06	16	GA	SZ	2	0	WQ		6	1510	1201	0	−2	77	153
1996	09	22	GN	GA	0	1	F		-7	1312	1517	0	+3	125	74
1996	09	29	GA	ML	1	1	F		-7	1510	1309	−2	0	77	127
1996	10	06	GA	CM	0	0	FQ		-3	1507	1553	+1	0	76	67
1996	10	19	GA	BF	2	0	F		6	1513	1356	+3	−1	73	117
1996	11	03	TG	GA	0	1	F		-10	1392	1523	−3	0	109	72
1996	11	10	GA	GH	1	1	WQ		0	1523	1619	−1	+1	73	48
1996	12	20	BF	GA	1	1	SLD	BJ	7	1349	1516	+1	−1	121	72
1996	12	22	BJ	GA	3	3	SLD		9	1169	1507	0	−3	164	75
1996	12	25	GA	GH	1	1	SLD	BJ	3	1510	1580	+1	0	74	59
1997	01	11	SL	GA	1	0	WQ		20	1432	1490	+8	−4	94	78
1997	01	25	KE	GA	1	0	FQ		20	1406	1470	+9	−7	103	85
1997	02	22	NA	GA	1	1	FQ		7	1248	1463	+1	−1	141	86
1997	03	30	GA	TG	2	1	F		6	1469	1392	+1	−1	85	110
1997	04	06	GA	MA	0	4	WQ		-28	1441	1685	−8	+4	93	38
1997	04	27	GH	GA	3	0	WQ		15	1575	1426	+3	−3	62	96
1997	06	22	CM	GA	2	2	FQ		-12	1564	1438	−4	+5	64	91
1997	07	13	GA	KE	1	0	FQ		12	1450	1383	+3	−4	88	110
1997	07	27	GA	NA	1	1	FQ		-10	1440	1370	−3	+3	90	115
1997	08	17	MA	GA	2	0	WQ		6	1737	1434	+1	−3	27	93
1998	08	02	GQ	GA	0	2	FQ		-11	1071	1445	0	+2	177	91
1998	08	16	GA	GQ	3	0	FQ		4	1449	1067	+2	0	90	177
1998	10	04	GA	MU	2	0	FQ		5	1454	1130	+4	−2	89	166
